IAM_Domain,Sub_Domain,Question_ID,Question,ISO_27001_2022,NIST_800_53_Rev5,SOC_2_TSC,GDPR,PCI_DSS_4_0,HIPAA,CIS_Controls,Answer_Type,Notes
Third-Party & External Access,Vendor Access Management,TPA-008,Are vendors prohibited from using shared credentials?,"A.5.17, A.5.19","IA-2(5), AC-20","CC6.1, CC6.2",Article 28,Req 8.2.2,164.312(a)(2)(i),CIS 5.2,Yes/No,Individual accountability
Third-Party & External Access,Vendor Access Management,TPA-009,Are vendor access agreements signed before granting access?,"A.5.19, A.5.20","AC-20, PS-6","CC6.1, CC6.2",Article 28,Req 12.8.2,164.308(b)(1),CIS 5.4,Yes/No,Contractual obligations
Third-Party & External Access,Vendor Access Management,TPA-010,Do vendor agreements include security and confidentiality clauses?,"A.5.19, A.5.20","PS-6, AC-20","CC6.1, CC6.2",Article 28,Req 12.8.2,164.308(b)(1),CIS 5.4,Yes/No,Legal protections
Third-Party & External Access,Partner Federation,TPA-011,Is federated identity used for partner organizations?,"A.5.17, A.5.19","IA-8, AC-17","CC6.1, CC6.2",Article 28,Req 12.8.2,164.308(b)(1),CIS 6.3,Yes/No,Federation implementation
Third-Party & External Access,Partner Federation,TPA-012,Are trust relationships with external identity providers documented?,"A.5.17, A.5.19","IA-8, IA-8(1)","CC6.1, CC6.2",Article 28,Req 12.8.2,164.308(b)(4),CIS 6.3,Yes/No,Trust documentation
Third-Party & External Access,Partner Federation,TPA-013,Are federated access grants reviewed regularly?,"A.5.19, A.5.20","AC-20, AC-2(12)","CC6.1, CC6.2",Article 28,Req 12.8.2,164.308(b)(1),CIS 5.4,Yes/No,Periodic federation review
Third-Party & External Access,Guest & Temporary Access,TPA-014,Is there a separate process for granting temporary guest access?,"A.5.18, A.5.19","AC-2, AC-2(9)","CC6.1, CC6.2",Article 32,Req 7.2.1,164.308(a)(3)(ii)(A),CIS 5.4,Yes/No,Guest access workflow
Third-Party & External Access,Guest & Temporary Access,TPA-015,What is the maximum duration for temporary/guest account access?,"A.5.18, A.5.19",AC-2(9),"CC6.1, CC6.2",Article 32,Req 7.2.1,164.308(a)(3)(ii)(B),CIS 5.4,Text/Numeric,Time limits
Third-Party & External Access,Guest & Temporary Access,TPA-016,Are temporary accounts automatically disabled after expiration?,"A.5.18, A.5.19","AC-2(3), AC-2(9)","CC6.1, CC6.2",Article 32,Req 7.2.6,164.308(a)(3)(ii)(C),CIS 5.3,Yes/No,Automatic expiration
Third-Party & External Access,Guest & Temporary Access,TPA-017,Are guest access privileges more restricted than employee access?,"A.5.18, A.5.19","AC-6, AC-20","CC6.1, CC6.2",Article 32,Req 7.2.1,164.308(a)(3)(ii)(B),CIS 5.4,Yes/No,Least privilege for guests
Audit & Monitoring,Logging Configuration,AUD-001,Are all authentication events (success and failure) logged?,"A.8.15, A.8.16","AU-2, AU-3","CC7.2, CC7.3",Article 32,"Req 10.2.4, 10.2.5",164.312(b),CIS 8.2,Yes/No,Critical audit requirement
Audit & Monitoring,Logging Configuration,AUD-002,Are all authorization/access control decisions logged?,"A.8.15, A.8.16","AU-2, AU-3","CC7.2, CC7.3",Article 32,"Req 10.2.4, 10.2.5",164.312(b),CIS 8.2,Yes/No,Access decision logging
Audit & Monitoring,Logging Configuration,AUD-003,Are privileged actions and administrative activities logged?,"A.8.15, A.8.16","AU-2, AU-12","CC7.2, CC7.3",Article 32,"Req 10.2.2, 10.2.7",164.312(b),CIS 8.2,Yes/No,Privileged activity tracking
Audit & Monitoring,Logging Configuration,AUD-004,Are account creation deletion and modification events logged?,"A.8.15, A.8.16","AU-2, AC-2(4)","CC7.2, CC7.3",Article 32,Req 10.2.5,164.312(b),CIS 8.2,Yes/No,Account lifecycle logging
Audit & Monitoring,Logging Configuration,AUD-005,Do logs include sufficient detail (user ID timestamp action result source IP)?,"A.8.15, A.8.16","AU-3, AU-3(1)","CC7.2, CC7.3",Article 32,Req 10.3,164.312(b),CIS 8.2,Yes/No,Log content requirements
Audit & Monitoring,Logging Configuration,AUD-006,Are logs stored in a centralized logging system (SIEM)?,"A.8.15, A.8.16","AU-4, AU-6","CC7.2, CC7.3",Article 32,Req 10.4,164.312(b),CIS 8.3,Yes/No,Centralized logging
Audit & Monitoring,Logging Configuration,AUD-007,What is the retention period for IAM-related audit logs?,"A.8.12, A.8.15","AU-11, SI-12","CC7.3, CC7.4",Article 5,Req 10.5.1,164.312(b),CIS 8.3,Text/Numeric,Retention policy
Audit & Monitoring,Log Protection,AUD-008,Are audit logs protected from unauthorized modification or deletion?,"A.8.12, A.8.15","AU-9, AU-9(4)","CC7.2, CC7.3",Article 32,Req 10.5,164.312(b),CIS 8.3,Yes/No,Log integrity
Audit & Monitoring,Log Protection,AUD-009,Is access to audit logs restricted to authorized personnel only?,"A.8.12, A.8.15","AU-9, AC-6(9)","CC7.2, CC7.3",Article 32,Req 10.5,164.312(b),CIS 8.3,Yes/No,Access control for logs
Audit & Monitoring,Log Protection,AUD-010,Are logs backed up regularly to prevent data loss?,"A.8.12, A.8.13","AU-9(2), CP-9","CC7.2, CC7.3",Article 32,Req 10.5.4,164.308(a)(7)(ii)(A),CIS 8.3,Yes/No,Log backup
Audit & Monitoring,Log Analysis,AUD-011,Are logs reviewed regularly for security incidents or anomalies?,"A.8.15, A.8.16","AU-6, SI-4","CC7.2, CC7.3",Article 32,Req 10.6.1,164.308(a)(1)(ii)(D),CIS 8.5,Yes/No,Regular log review
Audit & Monitoring,Log Analysis,AUD-012,What is the frequency of log reviews (daily weekly monthly)?,"A.8.15, A.8.16",AU-6,"CC7.2, CC7.3",Article 32,Req 10.6.1,164.308(a)(1)(ii)(D),CIS 8.5,Multiple Choice,Review frequency
Audit & Monitoring,Log Analysis,AUD-013,Are automated alerts configured for critical IAM events (failed login attempts privilege escalation)?,"A.8.15, A.8.16","AU-6(1), SI-4(5)","CC7.2, CC7.3",Article 32,Req 10.6.1,164.312(b),CIS 8.11,Yes/No,Automated alerting
Audit & Monitoring,Log Analysis,AUD-014,Are anomalous login patterns detected (unusual time location device)?,"A.8.15, A.8.16","SI-4, SI-4(18)","CC7.2, CC7.3",Article 32,Req 10.6.1,164.312(b),CIS 8.11,Yes/No,Anomaly detection
Audit & Monitoring,Log Analysis,AUD-015,Is User and Entity Behavior Analytics (UEBA) implemented?,"A.8.15, A.8.16","SI-4, SI-4(18)","CC7.2, CC7.3",Article 32,Req 10.6.1,164.312(b),CIS 8.11,Yes/No,Behavioral analytics
Audit & Monitoring,Incident Response,AUD-016,Are IAM-related security incidents documented and tracked?,"A.8.16, A.5.26","IR-4, IR-5","CC7.3, CC7.4",Article 33,Req 12.10.1,164.308(a)(6)(i),CIS 17.1,Yes/No,Incident documentation
Audit & Monitoring,Incident Response,AUD-017,Is there a defined process for responding to compromised accounts?,"A.8.16, A.5.26","IR-4, IR-4(1)","CC7.3, CC7.4",Article 33,Req 12.10.1,164.308(a)(6)(ii),CIS 17.2,Yes/No,Response procedures
Audit & Monitoring,Incident Response,AUD-018,How quickly are compromised accounts disabled after detection?,"A.8.16, A.5.26",IR-4,"CC7.3, CC7.4",Article 33,Req 12.10.1,164.308(a)(6)(ii),CIS 17.2,Text/Numeric,Response time
Audit & Monitoring,Compliance Reporting,AUD-019,Are compliance reports for IAM controls generated regularly?,"A.5.37, A.8.15","CA-7, CA-2","CC7.2, CC7.3",Article 5,Req 12.5.1,164.308(a)(8),CIS 2.6,Yes/No,Regular reporting
Audit & Monitoring,Compliance Reporting,AUD-020,Are IAM metrics tracked (failed logins privileged access usage access review completion)?,"A.8.15, A.8.16","AU-6(3), CA-7","CC7.2, CC7.3",Article 32,Req 12.5.1,164.308(a)(1)(ii)(D),CIS 8.5,Yes/No,Metrics tracking
Identity Federation & SSO,SSO Implementation,FED-001,What percentage of applications support SSO?,"A.5.17, A.5.18",IA-2(8),"CC6.1, CC6.6",Article 32,Req 8.3.1,164.312(a)(2)(i),CIS 6.3,Text/Numeric,SSO coverage metric
Identity Federation & SSO,SSO Implementation,FED-002,Which SSO protocol is primarily used (SAML OAuth2 OIDC)?,"A.5.17, A.5.18","IA-2(8), IA-8","CC6.1, CC6.6",Article 32,Req 8.3.1,164.312(a)(2)(i),CIS 6.3,Multiple Choice,Protocol documentation
Identity Federation & SSO,SSO Implementation,FED-003,Is SSO session management configured securely?,"A.5.18, A.8.15","AC-12, IA-2(8)","CC6.1, CC6.6",Article 32,Req 8.2.8,164.312(a)(2)(iii),CIS 4.3,Yes/No,Session security
Identity Federation & SSO,SSO Implementation,FED-004,Are SSO tokens encrypted during transmission and storage?,"A.8.24, A.5.17","SC-8, SC-28","CC6.1, CC6.7",Article 32,Req 4.2.1,164.312(e)(1),CIS 3.10,Yes/No,Token protection
Identity Federation & SSO,SSO Implementation,FED-005,What is the token lifetime/expiration policy for SSO sessions?,"A.5.18, A.8.15",AC-12,"CC6.1, CC6.6",Article 32,Req 8.2.8,164.312(a)(2)(iii),CIS 4.3,Text/Numeric,Token lifetime
Identity Federation & SSO,Federation,FED-006,Are external identity providers (IdPs) formally approved before integration?,"A.5.17, A.5.19","IA-8, IA-8(1)","CC6.1, CC6.2",Article 28,Req 12.8.2,164.308(b)(1),CIS 6.3,Yes/No,IdP approval process
Identity Federation & SSO,Federation,FED-007,Are trust relationships with external IdPs reviewed periodically?,"A.5.17, A.5.19","IA-8, CA-7","CC6.1, CC6.2",Article 28,Req 12.8.2,164.308(b)(1),CIS 6.3,Yes/No,Trust review
Identity Federation & SSO,Federation,FED-008,Is attribute-based access control (ABAC) used with federated identities?,"A.5.18, A.8.2","AC-2(7), AC-4(17)","CC6.1, CC6.2",Article 32,Req 7.2.1,164.308(a)(3)(ii)(B),CIS 5.4,Yes/No,ABAC implementation
Identity Federation & SSO,Federation,FED-009,Are federated user attributes validated and sanitized?,"A.5.17, A.8.23","IA-8(2), SI-10","CC6.1, CC6.2",Article 32,Req 6.5.1,164.312(a)(2)(i),CIS 6.3,Yes/No,Input validation
Identity Federation & SSO,Federation,FED-010,Is there a fallback authentication mechanism if SSO/federation fails?,"A.5.17, A.8.14","IA-2, CP-2","CC6.1, CC9.1",Article 32,Req 8.3.1,164.308(a)(7)(ii)(B),CIS 6.3,Yes/No,Continuity planning
Data Governance & Privacy,Data Classification,DGP-001,Are data classification levels defined and applied to IAM data?,"A.5.12, A.5.13","AC-16, RA-2","CC6.1, CC6.2",Article 5,Req 3.3.1,164.308(a)(1)(ii)(A),CIS 3.1,Yes/No,Data classification
Data Governance & Privacy,Data Classification,DGP-002,Is access to personally identifiable information (PII) restricted based on need-to-know?,"A.5.34, A.8.2","AC-6, IP-1","CC6.1, CC6.2",Article 5,"Req 3.2.1, 3.2.2",164.514(d)(2),CIS 5.4,Yes/No,PII access control
Data Governance & Privacy,Data Classification,DGP-003,Are access controls stricter for sensitive data categories (health financial)?,"A.5.12, A.8.2","AC-3, AC-6(1)","CC6.1, CC6.2",Article 9,Req 3.2.1,164.308(a)(3)(ii)(A),CIS 5.4,Yes/No,Sensitive data protection
Data Governance & Privacy,Privacy Rights,DGP-004,Can users view their own access rights and permissions?,"A.5.18, A.5.34","AC-2(1), IP-4(2)","CC6.1, CC6.2",Article 15,N/A,N/A,CIS 5.4,Yes/No,Transparency requirement
Data Governance & Privacy,Privacy Rights,DGP-005,Is there a process for users to request deletion of their identity data (right to erasure)?,"A.5.34, A.8.10","IP-6, SI-12","CC6.1, CC6.2",Article 17,Req 3.2.3,N/A,CIS 3.3,Yes/No,Data subject rights
Data Governance & Privacy,Privacy Rights,DGP-006,Are consent records maintained for processing user identity data?,"A.5.34, A.8.2","IP-2, AC-2(1)","CC6.1, CC6.2",Article 7,N/A,N/A,CIS 5.4,Yes/No,Consent management
Data Governance & Privacy,Data Retention,DGP-007,Is there a defined retention policy for identity and access data?,"A.8.10, A.8.12","SI-12, AU-11","CC7.3, CC7.4",Article 5,Req 3.2.3,164.316(b)(2)(i),CIS 3.3,Yes/No,Retention policy
Data Governance & Privacy,Data Retention,DGP-008,Are identity records purged after the retention period expires?,"A.8.10, A.8.12","SI-12, AU-11","CC7.3, CC7.4",Article 5,Req 3.2.3,164.316(b)(2)(i),CIS 3.3,Yes/No,Data purging
Data Governance & Privacy,Cross-Border Data,DGP-009,Are identity data transfers across borders compliant with data protection regulations?,"A.5.14, A.5.34","SC-7, IP-4(1)","CC6.1, CC6.2",Article 44-50,Req 12.8.2,N/A,CIS 13.1,Yes/No,Cross-border compliance
Data Governance & Privacy,Cross-Border Data,DGP-010,Are appropriate safeguards (SCCs BCRs) in place for international data transfers?,"A.5.14, A.5.34","SC-7, IP-4(1)","CC6.1, CC6.2",Article 46,Req 12.8.2,N/A,CIS 13.1,Yes/No,Transfer mechanisms
IAM Technology & Infrastructure,Identity Provider,TECH-001,What Identity Provider (IdP) solution is used (Active Directory Okta Azure AD Ping)?,"A.5.16, A.8.6","IA-4, IA-8","CC6.1, CC6.6",Article 32,Req 8.2.1,164.312(a)(2)(i),CIS 5.1,Multiple Choice,Technology stack
IAM Technology & Infrastructure,Identity Provider,TECH-002,Is the IdP infrastructure redundant and highly available?,"A.8.6, A.8.14","CP-2, SC-6","CC6.1, CC9.1",Article 32,Req 12.5.5,164.308(a)(7)(ii)(B),CIS 11.5,Yes/No,Availability requirement
IAM Technology & Infrastructure,Identity Provider,TECH-003,Are IdP systems patched and updated regularly?,"A.8.8, A.8.19","SI-2, SI-2(2)","CC7.1, CC7.2",Article 32,Req 6.2,164.308(a)(5)(ii)(B),CIS 7.1,Yes/No,Patch management
IAM Technology & Infrastructure,Identity Provider,TECH-004,What is the uptime SLA for the IdP?,"A.8.6, A.8.14",CP-2,"CC6.1, CC9.1",Article 32,Req 12.5.5,164.308(a)(7)(ii)(E),CIS 11.5,Text/Numeric,Service level agreement
IAM Technology & Infrastructure,Directory Services,TECH-005,Is directory synchronization automated between on-premises and cloud directories?,"A.5.16, A.8.6","IA-4, SC-7","CC6.1, CC6.6",Article 32,Req 8.2.1,164.312(a)(2)(i),CIS 5.1,Yes/No,Directory sync
IAM Technology & Infrastructure,Directory Services,TECH-006,Are directory service changes logged and audited?,"A.8.15, A.8.16","AU-2, AC-2(4)","CC7.2, CC7.3",Article 32,Req 10.2.5,164.312(b),CIS 8.2,Yes/No,Directory audit logging
IAM Technology & Infrastructure,Directory Services,TECH-007,Is the directory service schema hardened and secured?,"A.8.9, A.8.20","CM-6, CM-7","CC7.1, CC7.2",Article 32,"Req 2.2.1, 2.2.4",164.308(a)(1)(ii)(B),CIS 4.1,Yes/No,Schema hardening
IAM Technology & Infrastructure,Directory Services,TECH-008,Are administrative delegation models implemented in the directory?,"A.5.18, A.8.2","AC-6(1), AC-6(7)","CC6.1, CC6.2",Article 32,Req 7.2.3,164.308(a)(3)(ii)(B),CIS 5.4,Yes/No,Admin delegation
IAM Technology & Infrastructure,API Security,TECH-009,Are IAM APIs secured with authentication and authorization?,"A.8.3, A.8.23","IA-9, AC-3","CC6.1, CC6.2",Article 32,Req 6.5.10,164.312(a)(1),CIS 16.11,Yes/No,API security
IAM Technology & Infrastructure,API Security,TECH-010,Is API rate limiting implemented to prevent abuse?,"A.8.7, A.8.23","SC-5, SI-10","CC6.1, CC7.2",Article 32,Req 6.5.1,164.312(a)(1),CIS 16.11,Yes/No,Rate limiting
IAM Technology & Infrastructure,API Security,TECH-011,Are API keys rotated regularly?,"A.5.17, A.8.24","IA-5(1), IA-5(7)","CC6.1, CC6.7",Article 32,Req 8.3.10,164.312(a)(2)(iv),CIS 5.2,Yes/No,API key rotation
IAM Technology & Infrastructure,Infrastructure Security,TECH-012,Are IAM systems deployed in isolated network segments?,"A.8.21, A.8.22","SC-7, SC-7(5)","CC6.1, CC6.6",Article 32,Req 1.2.3,164.312(e)(1),CIS 12.1,Yes/No,Network segmentation
IAM Technology & Infrastructure,Infrastructure Security,TECH-013,Is encryption at rest enabled for identity data stores?,"A.8.24, A.8.11","SC-28, SC-28(1)","CC6.1, CC6.7",Article 32,Req 3.4.1,164.312(a)(2)(iv),CIS 3.11,Yes/No,Data at rest encryption
IAM Technology & Infrastructure,Infrastructure Security,TECH-014,Is encryption in transit enforced for all IAM communications?,"A.8.24, A.8.9","SC-8, SC-8(1)","CC6.1, CC6.7",Article 32,Req 4.2.1,164.312(e)(1),CIS 3.10,Yes/No,Data in transit encryption
IAM Technology & Infrastructure,Infrastructure Security,TECH-015,Are IAM system backups encrypted and tested regularly?,"A.8.13, A.8.24","CP-9, CP-9(8)","CC7.2, CC9.1",Article 32,Req 3.4.1,164.308(a)(7)(ii)(A),CIS 11.3,Yes/No,Backup security
IAM Technology & Infrastructure,Integration,TECH-016,How many applications are integrated with the central IAM system?,"A.5.16, A.8.6","IA-4, CM-8","CC6.1, CC6.6",Article 32,Req 12.5.2,164.308(a)(1)(ii)(A),CIS 1.1,Text/Numeric,Integration coverage
IAM Technology & Infrastructure,Integration,TECH-017,Is there a standard API or connector framework for application integration?,"A.8.6, A.8.23","IA-4, SC-7","CC6.1, CC6.6",Article 32,Req 2.2.4,164.312(a)(2)(i),CIS 16.11,Yes/No,Standardization
IAM Technology & Infrastructure,Integration,TECH-018,Are legacy applications that cannot integrate with IAM documented and risk-assessed?,"A.5.9, A.8.9","CM-8, RA-3","CC6.1, CC7.1",Article 32,Req 2.4,164.308(a)(1)(ii)(A),CIS 1.1,Yes/No,Legacy risk management
IAM Technology & Infrastructure,Performance & Scalability,TECH-019,Is the IAM infrastructure sized to handle current and projected user loads?,"A.8.6, A.8.32","CP-2, AU-4","CC6.1, CC9.1",Article 32,Req 12.5.5,164.308(a)(7)(ii)(B),CIS 11.5,Yes/No,Capacity planning
IAM Technology & Infrastructure,Performance & Scalability,TECH-020,Are performance metrics monitored (authentication latency provisioning speed)?,"A.8.6, A.8.16","SI-4, AU-6","CC7.2, CC7.3",Article 32,Req 10.6.1,164.308(a)(1)(ii)(D),CIS 8.5,Yes/No,Performance monitoring
Policy & Governance,IAM Policy Documentation,POL-001,Is there a formal documented IAM policy?,"A.5.1, A.5.10","AC-1, PL-1","CC6.1, CC6.2",Article 32,Req 12.1,164.308(a)(1)(i),CIS 5.1,Yes/No,Policy existence
Policy & Governance,IAM Policy Documentation,POL-002,When was the IAM policy last reviewed and updated?,"A.5.1, A.5.10","AC-1, PL-1","CC6.1, CC6.2",Article 32,Req 12.1.1,164.308(a)(1)(i),CIS 5.1,Text/Date,Policy review date
Policy & Governance,IAM Policy Documentation,POL-003,Is the IAM policy approved by senior management?,"A.5.1, A.5.10","AC-1, PM-2","CC6.1, CC6.2",Article 32,Req 12.1.1,164.308(a)(2),CIS 5.1,Yes/No,Management approval
Policy & Governance,IAM Policy Documentation,POL-004,Are IAM policies communicated to all relevant personnel?,"A.5.1, A.5.2","AC-1, PS-7","CC6.1, CC6.2",Article 32,Req 12.2.1,164.308(a)(5)(i),CIS 14.1,Yes/No,Policy communication
Policy & Governance,IAM Policy Documentation,POL-005,Are IAM standards and procedures documented and maintained?,"A.5.1, A.5.10","AC-1, PL-1","CC6.1, CC6.2",Article 32,Req 12.1.2,164.308(a)(1)(i),CIS 5.1,Yes/No,Standards documentation
Policy & Governance,Roles & Responsibilities,POL-006,Are IAM roles and responsibilities clearly defined?,"A.5.2, A.5.24","AC-1, PS-1","CC6.1, CC6.2",Article 32,Req 12.4,164.308(a)(2),CIS 5.1,Yes/No,Role definition
Policy & Governance,Roles & Responsibilities,POL-007,Is there a designated IAM/Identity Governance team or function?,"A.5.2, A.5.24","PS-1, PM-2","CC6.1, CC6.2",Article 32,Req 12.4,164.308(a)(2),CIS 5.1,Yes/No,Dedicated team
Policy & Governance,Roles & Responsibilities,POL-008,Who is the executive sponsor for IAM initiatives?,"A.5.1, A.5.2","PM-2, PM-3","CC6.1, CC6.2",Article 32,Req 12.4,164.308(a)(2),CIS 5.1,Text,Executive ownership
Policy & Governance,Roles & Responsibilities,POL-009,Are system owners identified for all applications and systems?,"A.5.9, A.5.24","CM-8, PS-1","CC6.1, CC6.2",Article 32,Req 12.4,164.308(a)(2),CIS 1.1,Yes/No,Ownership assignment
Policy & Governance,Roles & Responsibilities,POL-010,Are data owners responsible for approving access to their data?,"A.5.24, A.8.2","AC-2(1), PS-1","CC6.1, CC6.2",Article 5,Req 7.2.2,164.308(a)(3)(ii)(A),CIS 5.4,Yes/No,Data owner responsibility
Policy & Governance,Training & Awareness,POL-011,Is IAM security awareness training provided to all employees?,"A.5.2, A.6.3","AT-2, PS-7","CC6.1, CC6.2",Article 32,Req 12.6.1,164.308(a)(5)(i),CIS 14.1,Yes/No,General awareness training
Policy & Governance,Training & Awareness,POL-012,Is specialized IAM training provided to administrators?,"A.5.2, A.6.3","AT-3, PS-7","CC6.1, CC6.2",Article 32,Req 12.6.2,164.308(a)(5)(i),CIS 14.3,Yes/No,Administrator training
Policy & Governance,Training & Awareness,POL-013,How frequently is IAM security training conducted?,"A.5.2, A.6.3",AT-2,"CC6.1, CC6.2",Article 32,Req 12.6.1,164.308(a)(5)(i),CIS 14.1,Multiple Choice,Training frequency
Policy & Governance,Training & Awareness,POL-014,Are users trained on password best practices and MFA usage?,"A.5.2, A.6.3","AT-2, PS-7","CC6.1, CC6.2",Article 32,Req 12.6.1,164.308(a)(5)(i),CIS 14.1,Yes/No,User training
Policy & Governance,Training & Awareness,POL-015,Is training completion tracked and reported?,"A.5.2, A.6.3","AT-4, PS-7","CC6.1, CC6.2",Article 32,Req 12.6.1,164.308(a)(5)(i),CIS 14.1,Yes/No,Training tracking
Policy & Governance,Compliance & Risk,POL-016,Are IAM risks identified assessed and documented in a risk register?,"A.5.7, A.8.29","RA-1, RA-3","CC4.1, CC4.2",Article 32,Req 12.2,164.308(a)(1)(ii)(A),CIS 4.1,Yes/No,Risk assessment
Policy & Governance,Compliance & Risk,POL-017,Is IAM included in the organization's risk management program?,"A.5.7, A.5.29","RA-1, PM-9","CC4.1, CC4.2",Article 32,Req 12.2,164.308(a)(1)(ii)(A),CIS 4.1,Yes/No,Risk program integration
Policy & Governance,Compliance & Risk,POL-018,Are compensating controls documented when IAM requirements cannot be fully met?,"A.5.7, A.8.29","CA-2, CA-7","CC4.1, CC6.1",Article 32,Req 12.3,164.308(a)(8),CIS 4.1,Yes/No,Compensating controls
Policy & Governance,Compliance & Risk,POL-019,Are IAM compliance assessments conducted regularly?,"A.5.37, A.5.36","CA-2, CA-7","CC4.1, CC4.2",Article 32,Req 12.5.1,164.308(a)(8),CIS 2.6,Yes/No,Compliance assessments
Policy & Governance,Compliance & Risk,POL-020,What is the frequency of IAM compliance audits?,"A.5.37, A.5.36",CA-2,"CC4.1, CC4.2",Article 32,Req 12.5.1,164.308(a)(8),CIS 2.6,Multiple Choice,Audit frequency
Policy & Governance,Change Management,POL-021,Are IAM system changes subject to formal change control processes?,"A.8.32, A.8.9","CM-3, CM-3(2)","CC7.1, CC8.1",Article 32,Req 6.5.2,164.308(a)(5)(ii)(B),CIS 4.2,Yes/No,Change control
Policy & Governance,Change Management,POL-022,Are IAM changes tested in non-production environments before production deployment?,"A.8.29, A.8.32","CM-4, SA-11","CC7.1, CC8.1",Article 32,Req 6.4.1,164.308(a)(5)(ii)(B),CIS 16.9,Yes/No,Testing requirements
Policy & Governance,Change Management,POL-023,Are emergency IAM changes documented with post-implementation review?,"A.8.32, A.8.16","CM-3(4), AU-2","CC7.1, CC8.1",Article 32,Req 6.5.2,164.308(a)(5)(ii)(B),CIS 4.2,Yes/No,Emergency change handling
Policy & Governance,Vendor Management,POL-024,Are IAM vendors and service providers evaluated for security before engagement?,"A.5.19, A.5.20","SA-9, RA-3","CC6.1, CC6.2",Article 28,Req 12.8.2,164.308(b)(1),CIS 15.1,Yes/No,Vendor assessment
Policy & Governance,Vendor Management,POL-025,Are IAM vendor contracts reviewed to ensure security and compliance requirements?,"A.5.19, A.5.20","SA-9(2), PS-6","CC6.1, CC6.2",Article 28,Req 12.8.2,164.308(b)(1),CIS 15.1,Yes/No,Contract review
Policy & Governance,Vendor Management,POL-026,Are IAM vendors assessed periodically for continued compliance?,"A.5.19, A.5.22","SA-9, CA-2","CC6.1, CC6.2",Article 28,Req 12.8.5,164.308(b)(1),CIS 15.2,Yes/No,Ongoing vendor assessment
Advanced IAM Capabilities,Identity Analytics,ADV-001,Is identity analytics implemented to detect access anomalies?,"A.8.15, A.8.16","SI-4(18), AU-6","CC7.2, CC7.3",Article 32,Req 10.6.1,164.312(b),CIS 8.11,Yes/No,Analytics capability
Advanced IAM Capabilities,Identity Analytics,ADV-002,Are machine learning models used for identifying risky access patterns?,"A.8.16, A.8.15","SI-4(18), AU-6(3)","CC7.2, CC7.3",Article 32,Req 10.6.1,164.312(b),CIS 8.11,Yes/No,ML-based detection
Advanced IAM Capabilities,Identity Analytics,ADV-003,Is predictive analytics used for proactive access risk mitigation?,"A.8.16, A.8.29","SI-4, RA-3","CC7.2, CC7.3",Article 32,Req 12.2,164.308(a)(1)(ii)(A),CIS 8.11,Yes/No,Predictive analytics
Advanced IAM Capabilities,Zero Trust,ADV-004,Is Zero Trust architecture implemented for identity verification?,"A.5.18, A.8.3","AC-2(1), AC-3","CC6.1, CC6.2",Article 32,Req 7.2.1,164.312(a)(1),CIS 6.3,Yes/No,Zero Trust adoption
Advanced IAM Capabilities,Zero Trust,ADV-005,Is continuous authentication and authorization implemented?,"A.5.17, A.5.18","IA-2(11), AC-3(11)","CC6.1, CC6.2",Article 32,Req 8.3.1,164.312(a)(2)(i),CIS 6.3,Yes/No,Continuous verification
Advanced IAM Capabilities,Zero Trust,ADV-006,Are contextual factors (device location time) used in access decisions?,"A.5.18, A.8.3","AC-3(11), AC-4(17)","CC6.1, CC6.2",Article 32,Req 7.2.1,164.312(a)(1),CIS 6.3,Yes/No,Context-aware access
Advanced IAM Capabilities,Privileged Session Management,ADV-007,Are privileged sessions subject to keystroke logging?,"A.8.15, A.8.16","AC-6(9), AU-14","CC7.2, CC7.3",Article 32,Req 10.2.2,164.312(b),CIS 5.4,Yes/No,Keystroke logging
Advanced IAM Capabilities,Privileged Session Management,ADV-008,Is screen recording enabled for privileged sessions?,"A.8.15, A.8.16","AC-6(9), AU-14","CC7.2, CC7.3",Article 32,Req 10.2.2,164.312(b),CIS 5.4,Yes/No,Session recording
Advanced IAM Capabilities,Privileged Session Management,ADV-009,Can privileged sessions be terminated remotely if suspicious activity is detected?,"A.8.16, A.8.15","IR-4(5), AC-12","CC7.2, CC7.3",Article 32,Req 10.6.1,164.312(b),CIS 17.2,Yes/No,Remote termination
Advanced IAM Capabilities,Biometric Authentication,ADV-010,Are biometric authentication methods available (fingerprint facial recognition)?,"A.5.17, A.5.18","IA-2(3), IA-2(8)","CC6.1, CC6.2",Article 32,Req 8.3.1,164.312(d),CIS 6.3,Yes/No,Biometric availability
Advanced IAM Capabilities,Biometric Authentication,ADV-011,Are biometric templates stored securely and protected from unauthorized access?,"A.5.17, A.8.24","IA-5(1), SC-28","CC6.1, CC6.7",Article 9,Req 3.4.1,164.312(a)(2)(iv),CIS 3.11,Yes/No,Biometric data protection
Advanced IAM Capabilities,Biometric Authentication,ADV-012,Is liveness detection implemented to prevent biometric spoofing?,"A.5.17, A.8.23","IA-2(8), SI-3","CC6.1, CC6.2",Article 32,Req 8.3.1,164.312(d),CIS 6.3,Yes/No,Anti-spoofing measures
Advanced IAM Capabilities,Passwordless Authentication,ADV-013,Are passwordless authentication methods (FIDO2 WebAuthn) supported?,"A.5.17, A.5.18","IA-2(2), IA-5(2)","CC6.1, CC6.2",Article 32,Req 8.3.1,164.312(d),CIS 6.3,Yes/No,Passwordless support
