iam_domain,question_id,section_id,question_text,answer_type,question_type,iso_27001_2022,nist_800_53_rev5,soc_2_tsc,gdpr,pci_dss_4_0,hipaa,cis_controls,
Access Authorization and Control,Q_124,LP,Are system generated default high privileges reviewed and adjusted?,yes_no_partial_with_text,follow_up,A.8.2,AC-6,CC6.1,Art.32(1),7.2.2,164.308(a)(3),6.5,
Access Authorization and Control,Q_125,LP,Are least privilege principles enforced in cloud platforms as well?,yes_no_partial_with_text,core,A.8.22,AC-6,CC6.6,Art.32(1),7.2.2,164.308(a)(3),6.5,
Access Authorization and Control,Q_126,LP,Are deviations from least privilege formally approved?,yes_no_partial_with_text,follow_up,A.5.23,CM-3,CC5.2,Art.32(1),6.4.2,164.308(a)(1),4.1,
Access Authorization and Control,Q_127,LP,Are access exceptions reviewed periodically?,yes_no_partial_with_text,follow_up,A.5.29,CA-7,CC4.1,Art.32(1)(d),10.4.2,164.308(a)(8),4.1,
Access Authorization and Control,Q_128,LP,Are unused privileges identified and removed automatically through scripts or tools?,yes_no_partial_with_text,follow_up,A.8.3,AC-2,CC6.2,Art.32(1),7.2.5,164.308(a)(3),5.5,
Access Authorization and Control,Q_129,LP,Are least privilege rules integrated with RBAC design?,yes_no_partial_with_text,core,A.8.2,AC-6,CC6.1,Art.32(1),7.2.2,164.308(a)(3),6.5,
Access Authorization and Control,Q_130,LP,Are least privilege violations tracked as security findings?,yes_no_partial_with_text,follow_up,A.8.16,AU-6,CC7.2,Art.32(1),10.2,164.312(b),8.11,
Access Authorization and Control,Q_131,LP,Are administrators trained on least privilege implementation practices?,yes_no_partial_with_text,core,A.6.3,AT-2,CC2.2,Art.39,12.6.1,164.308(a)(5),14.1,
Access Authorization and Control,Q_132,SOD,Is Segregation of Duties formally defined across critical business processes?,yes_no_partial_with_text,core,A.8.2,AC-5,CC6.3,Art.32(1),7.2.2,164.308(a)(3),6.3,
Access Authorization and Control,Q_133,SOD,Are conflicting roles identified and blocked in access assignment?,yes_no_partial_with_text,core,A.8.2,AC-5,CC6.3,Art.32(1),7.2.2,164.308(a)(3),6.3,
Access Authorization and Control,Q_134,SOD,Is SoD enforcement automated through IAM tools?,yes_no_partial_with_text,follow_up,A.8.22,AC-5,CC6.3,Art.32(1),6.4.1,164.308(a)(3),6.3,
Access Authorization and Control,Q_135,SOD,Are SoD conflicts documented and remediated?,yes_no_partial_with_text,follow_up,A.5.29,CA-7,CC4.1,Art.32(1),10.4.2,164.308(a)(8),4.1,
Access Authorization and Control,Q_136,SOD,Are SoD exceptions formally approved and tracked?,yes_no_partial_with_text,follow_up,A.5.23,CM-3,CC5.2,Art.32(1),6.4.2,164.308(a)(1),4.1,
Access Authorization and Control,Q_137,SOD,Are SoD policies reviewed annually?,yes_no_partial_with_text,follow_up,A.5.29,CA-7,CC4.1,Art.32(1),10.4.2,164.308(a)(8),4.1,
Access Authorization and Control,Q_138,SOD,Are SoD conflicts included in audit scope?,yes_no_partial_with_text,core,A.5.30,CA-2,CC4.1,Art.32(1)(d),12.11.1,164.308(a)(8),4.1,
Access Authorization and Control,Q_139,SOD,Is SoD configuration centrally governed?,yes_no_partial_with_text,core,A.5.2,PM-11,CC1.2,Art.24,6.1.1,164.308(a)(1),2.3,
Access Authorization and Control,Q_140,SOD,Are application owners responsible for approving SoD exceptions?,yes_no_partial_with_text,follow_up,A.5.2,AC-2,CC1.2,Art.24,6.1.1,164.308(a)(1),2.3,
Access Authorization and Control,Q_141,SOD,Are SoD violations reviewed as compliance metrics?,yes_no_partial_with_text,follow_up,A.8.16,AU-6,CC7.2,Art.32(1),10.2,164.312(b),8.11,
Access Authorization and Control,Q_142,APV,Are all access requests submitted through a formal access request process or system?,yes_no_partial_with_text,core,A.8.2,AC-2,CC6.2,Art.32(1),7.1.2,164.308(a)(3),6.2,
Access Authorization and Control,Q_143,APV,Are access requests approved by the data owner or designated authority?,yes_no_partial_with_text,core,A.5.2,AC-2,CC6.2,Art.24,7.1.2,164.308(a)(4),6.2,
Access Authorization and Control,Q_144,APV,Does the access approval workflow validate business justification before granting access?,yes_no_partial_with_text,core,A.8.2,AC-2,CC6.2,Art.32(1),7.1.2,164.308(a)(3),6.2,
Access Authorization and Control,Q_145,APV,Is there segregation between requester and approver?,yes_no_partial_with_text,core,A.8.2,AC-5,CC6.3,Art.32(1),7.2.2,164.308(a)(3),6.3,
Access Authorization and Control,Q_146,APV,Are access requests tracked until completion?,yes_no_partial_with_text,follow_up,A.5.23,CM-3,CC5.2,Art.32(1),6.4.2,164.308(a)(1),4.1,
Access Authorization and Control,Q_147,APV,Is automated provisioning integrated with IAM tools?,yes_no_partial_with_text,core,A.8.22,AC-2,CC6.6,Art.32(1),7.2.1,164.308(a)(3),6.4,
Access Authorization and Control,Q_148,APV,Are provisioning failures logged and resolved?,yes_no_partial_with_text,follow_up,A.8.16,AU-6,CC7.2,Art.30,10.2,164.312(b),8.11,
Access Authorization and Control,Q_149,APV,Are temporary access requests clearly marked and time bound?,yes_no_partial_with_text,core,A.8.2,AC-2,CC6.1,Art.32(1),7.2.2,164.308(a)(3),6.5,
Access Authorization and Control,Q_150,APV,Is emergency access provisioning subject to post review?,yes_no_partial_with_text,follow_up,A.5.26,IR-4,CC7.3,Art.32(1),12.10.1,164.308(a)(6),17.3,
Access Authorization and Control,Q_151,APV,Are rejected access requests retained for audit purposes?,yes_no_partial_with_text,follow_up,A.8.16,AU-11,CC2.2,Art.30,10.5,164.312(b),8.2,
Access Authorization and Control,Q_152,REV,Are access rights reviewed periodically for all users?,yes_no_partial_with_text,core,A.5.29,CA-7,CC4.1,Art.32(1)(d),10.4.2,164.308(a)(8),4.1,
Access Authorization and Control,Q_153,REV,Are access reviews performed at least annually or based on risk?,yes_no_partial_with_text,core,A.5.29,CA-7,CC4.1,Art.32(1)(d),10.4.2,164.308(a)(8),4.1,
Access Authorization and Control,Q_154,REV,Are access reviews conducted by system or data owners?,yes_no_partial_with_text,core,A.5.2,AC-2,CC1.2,Art.24,6.1.1,164.308(a)(1),2.3,
Access Authorization and Control,Q_155,REV,Are review findings documented and remediated?,yes_no_partial_with_text,follow_up,A.5.29,CA-7,CC4.1,Art.32(1),10.4.2,164.308(a)(8),4.1,
Access Authorization and Control,Q_156,REV,Are terminated user accounts included in periodic reviews?,yes_no_partial_with_text,follow_up,A.8.3,AC-2,CC6.2,Art.5(1)(e),7.2.5,164.308(a)(3),5.5,
Access Authorization and Control,Q_157,REV,Are excessive privileges identified during reviews?,yes_no_partial_with_text,follow_up,A.8.2,AC-6,CC6.1,Art.32(1),7.2.2,164.308(a)(3),6.5,
Access Authorization and Control,Q_158,REV,Are review outcomes tracked as compliance evidence?,yes_no_partial_with_text,follow_up,A.8.16,AU-2,CC7.2,Art.30,10.2,164.312(b),8.2,
Access Authorization and Control,Q_159,REV,Do reviews cover privileged accounts separately?,yes_no_partial_with_text,core,A.8.2,AC-6,CC7.2,Art.32(1),7.2.2,164.308(a)(3),6.5,
Access Authorization and Control,Q_160,REV,Are unresolved access review issues escalated?,yes_no_partial_with_text,follow_up,A.5.26,IR-4,CC7.3,Art.32(1),12.10.1,164.308(a)(6),17.3,
Access Authorization and Control,Q_161,REV,Are access review schedules defined and enforced?,yes_no_partial_with_text,core,A.5.29,CA-7,CC4.1,Art.32(1)(d),10.4.2,164.308(a)(8),4.1,
Access Authorization and Control,Q_162,TEMP,Are temporary access rights assigned with automatic expiry?,yes_no_partial_with_text,core,A.8.2,AC-2,CC6.1,Art.32(1),7.2.2,164.308(a)(3),6.5,
Access Authorization and Control,Q_163,TEMP,Is elevated access granted only for approved time durations?,yes_no_partial_with_text,core,A.8.2,AC-6,CC7.2,Art.32(1),7.2.2,164.308(a)(3),6.5,
Access Authorization and Control,Q_164,TEMP,Are temporary privileges logged separately?,yes_no_partial_with_text,follow_up,A.8.16,AU-6,CC7.2,Art.30,10.2,164.312(b),8.11,
Access Authorization and Control,Q_165,TEMP,Is Just In Time access implemented for privileged tasks?,yes_no_partial_with_text,core,A.8.2,AC-6,CC7.2,Art.32(1),7.2.2,164.308(a)(3),6.5,
Access Authorization and Control,Q_166,TEMP,Are emergency privileges reviewed post usage?,yes_no_partial_with_text,follow_up,A.5.26,IR-4,CC7.3,Art.32(1),12.10.1,164.308(a)(6),17.3,
Access Authorization and Control,Q_167,TEMP,Are users notified when elevated access is granted?,yes_no_partial_with_text,follow_up,A.6.4,AC-2,CC6.8,Art.34,7.2.1,164.308(a)(5),16.12,
Access Authorization and Control,Q_168,TEMP,Are elevated session activities monitored?,yes_no_partial_with_text,follow_up,A.8.16,AU-6,CC7.2,Art.32(1),10.2,164.312(b),8.2,
Access Authorization and Control,Q_169,TEMP,Is temporary access removal confirmed after expiry?,yes_no_partial_with_text,follow_up,A.8.3,AC-2,CC6.2,Art.5(1)(e),7.2.5,164.308(a)(3),5.5,
Access Authorization and Control,Q_170,TEMP,Are deviations from temporary access policies approved?,yes_no_partial_with_text,follow_up,A.5.23,CM-3,CC5.2,Art.32(1),6.4.2,164.308(a)(1),4.1,
Access Authorization and Control,Q_171,TEMP,Are temporary access logs retained per policy?,yes_no_partial_with_text,follow_up,A.8.16,AU-11,CC2.2,Art.30,10.5,164.312(b),8.2,
Access Authorization and Control,Q_172,POL,Are access control policies formally defined and approved by management?,yes_no_partial_with_text,core,A.5.1,PL-2,CC1.2,Art.24,12.1.1,164.308(a)(1),2.3,
Access Authorization and Control,Q_173,POL,Do access control policies define who can access what resources and under what conditions?,yes_no_partial_with_text,core,A.5.1|A.8.2,AC-2,CC6.1,Art.32(1),7.1.1,164.308(a)(3),6.2,
Access Authorization and Control,Q_174,POL,Are access control policies communicated to all relevant users and administrators?,yes_no_partial_with_text,core,A.6.3,AT-2,CC2.1,Art.24,12.6.1,164.308(a)(5),14.1,
Access Authorization and Control,Q_175,POL,Are access policies reviewed and updated periodically?,yes_no_partial_with_text,follow_up,A.5.29,CA-7,CC4.1,Art.32(1)(d),12.11.1,164.308(a)(8),4.1,
Access Authorization and Control,Q_176,POL,Are deviations from access control policies approved and documented?,yes_no_partial_with_text,follow_up,A.5.23,CM-3,CC5.2,Art.32(1),6.4.2,164.308(a)(1),4.1,
Access Authorization and Control,Q_177,POL,Are access policies enforced through technical controls rather than manual processes alone?,yes_no_partial_with_text,core,A.8.22,AC-2,CC6.6,Art.32(1),7.2.1,164.308(a)(3),6.4,
Access Authorization and Control,Q_178,POL,Are policy violations logged and monitored?,yes_no_partial_with_text,follow_up,A.8.16,AU-6,CC7.2,Art.30,10.2,164.312(b),8.11,
Access Authorization and Control,Q_179,POL,Do access policies include requirements for remote and third party access?,yes_no_partial_with_text,core,A.5.19,AC-20,CC6.6,Art.28|Art.32(1),12.8,164.308(b)(4),15.1,
Access Authorization and Control,Q_180,POL,Are access policies aligned with data classification levels?,yes_no_partial_with_text,core,A.5.12,IA-4,CC6.1,Art.5(1)(f)|Art.32(1),7.2.2,164.308(a)(3),3.4,
Access Authorization and Control,Q_181,POL,Are users required to acknowledge access control policies?,yes_no_partial_with_text,follow_up,A.6.3,AT-2,CC2.1,Art.24,12.6.1,164.308(a)(5),14.1,
Access Authorization and Control,Q_182,GOV,Is there a governance structure responsible for overseeing access control practices?,yes_no_partial_with_text,core,A.5.2,PM-11,CC1.2,Art.24,6.1.1,164.308(a)(1),2.3,
Access Authorization and Control,Q_183,GOV,Are access control metrics reported to management or governance committees?,yes_no_partial_with_text,follow_up,A.5.29,CA-7,CC4.1,Art.32(1)(d),12.11.1,164.308(a)(8),4.1,
Access Authorization and Control,Q_184,GOV,Are access related risks tracked and included in risk registers?,yes_no_partial_with_text,core,A.5.7,RA-3,CC3.2,Art.32(2),12.2.1,164.308(a)(1),4.1,
Access Authorization and Control,Q_185,GOV,Are internal audits performed on access control effectiveness?,yes_no_partial_with_text,core,A.5.30,CA-2,CC4.1,Art.32(1)(d),12.11.1,164.308(a)(8),4.1,
Access Authorization and Control,Q_186,GOV,Are third party access governance controls assessed periodically?,yes_no_partial_with_text,follow_up,A.5.19,SA-9,CC6.6,Art.28|Art.32(1),12.8,164.308(b)(4),15.1,
Access Authorization and Control,Q_187,GOV,Are access control responsibilities clearly assigned to defined roles?,yes_no_partial_with_text,core,A.5.2,PL-2,CC1.2,Art.24,6.1.1,164.308(a)(1),2.3,
Access Authorization and Control,Q_188,GOV,Are access governance processes supported by IAM tooling?,yes_no_partial_with_text,core,A.8.22,AC-2,CC6.6,Art.32(1),7.2.1,164.308(a)(3),6.4,
Access Authorization and Control,Q_189,GOV,Are access governance failures escalated and remediated?,yes_no_partial_with_text,follow_up,A.5.26,IR-4,CC7.3,Art.32(1),12.10.1,164.308(a)(6),17.3,
Access Authorization and Control,Q_190,GOV,Are governance review findings retained as compliance evidence?,yes_no_partial_with_text,follow_up,A.8.16,AU-11,CC2.2,Art.30,10.5,164.312(b),8.2,
Access Authorization and Control,Q_191,GOV,Are lessons learned from access incidents used to improve controls?,yes_no_partial_with_text,follow_up,A.5.26|A.5.29,IR-4|CA-7,CC4.1|CC7.3,Art.32(1),12.10.1,164.308(a)(6)|164.308(a)(8),17.3,
Access Authorization and Control,Q_192,GOV,Are access control KPIs monitored for continuous improvement?,yes_no_partial_with_text,core,A.5.29,CA-7,CC4.1,Art.32(1)(d),12.11.1,164.308(a)(8),4.1,
Access Authorization and Control,Q_193,GOV,Are policy exceptions reviewed at governance level?,yes_no_partial_with_text,follow_up,A.5.23,CM-3,CC5.2,Art.32(1),6.4.2,164.308(a)(1),4.1,
Access Authorization and Control,Q_194,GOV,Are access control changes aligned with change management governance?,yes_no_partial_with_text,core,A.5.23,CM-3,CC5.2,Art.32(1),6.4.2,164.308(a)(1),4.1,
Access Authorization and Control,Q_195,GOV,Is access governance integrated with enterprise risk management?,yes_no_partial_with_text,core,A.5.7,RA-3,CC3.2,Art.32(2),12.2.1,164.308(a)(1),4.1,
Access Authorization and Control,Q_196,GOV,Are audit findings related to access tracked to closure?,yes_no_partial_with_text,follow_up,A.5.30,CA-2,CC4.1,Art.32(1),12.11.1,164.308(a)(8),4.1,
Access Authorization and Control,Q_197,GOV,Are access governance roles reviewed periodically?,yes_no_partial_with_text,follow_up,A.5.29,CA-7,CC4.1,Art.32(1)(d),12.11.1,164.308(a)(8),4.1,
Access Authorization and Control,Q_198,GOV,Are third party access governance risks formally assessed?,yes_no_partial_with_text,core,A.5.19,RA-3,CC6.6,Art.28|Art.32(1),12.8,164.308(b)(4),15.1,
Access Authorization and Control,Q_199,GOV,Are governance reports retained for regulatory audits?,yes_no_partial_with_text,follow_up,A.8.16,AU-11,CC2.2,Art.30,10.5,164.312(b),8.2,
Access Authorization and Control,Q_200,GOV,Are governance processes documented and version controlled?,yes_no_partial_with_text,core,A.5.1,PL-2,CC1.2,Art.24,12.1.1,164.308(a)(1),2.3,
Access Authorization and Control,Q_201,GOV,Is access governance effectiveness reviewed by senior management?,yes_no_partial_with_text,core,A.5.2,PM-11,CC1.2,Art.24,6.1.1,164.308(a)(1),2.3,
Privileged Access Management (PAM),Q_202,PACC,Are privileged accounts clearly defined and identified within the organization?,yes_no_partial_with_text,core,A.8.2,AC-2,CC6.2,Art.32(1),7.1.2,164.308(a)(3),6.5,
Privileged Access Management (PAM),Q_203,PACC,Are privileged accounts separated from standard user accounts?,yes_no_partial_with_text,core,A.8.2,AC-6,CC7.2,Art.32(1),7.2.2,164.308(a)(3),6.5,
Privileged Access Management (PAM),Q_204,PACC,Are shared privileged accounts minimized or eliminated?,yes_no_partial_with_text,core,A.8.2,AC-2,CC6.1,Art.32(1),7.1.2,164.308(a)(3),6.3,
Privileged Access Management (PAM),Q_205,PACC,Are privileged accounts created only upon formal approval?,yes_no_partial_with_text,core,A.8.2,AC-2,CC6.2,Art.32(1),7.1.2,164.308(a)(3),6.2,
Privileged Access Management (PAM),Q_206,PACC,Are privileged accounts reviewed periodically to ensure continued necessity?,yes_no_partial_with_text,follow_up,A.5.29,CA-7,CC4.1,Art.32(1)(d),10.4.2,164.308(a)(8),4.1,
Privileged Access Management (PAM),Q_207,PACC,Are default privileged accounts disabled or securely managed?,yes_no_partial_with_text,core,A.8.2,AC-2,CC6.1,Art.32(1),2.1.1,164.308(a)(3),5.1,
Privileged Access Management (PAM),Q_208,PACC,Are privileged account activities logged and auditable?,yes_no_partial_with_text,core,A.8.16,AU-2|AU-6,CC7.2,Art.30,10.2,164.312(b),8.2,
Privileged Access Management (PAM),Q_209,PACC,Are privileged account credentials protected using additional security controls?,yes_no_partial_with_text,core,A.8.5,IA-7,CC6.1,Art.32(1),8.3.1,164.312(d),6.4|6.5,
Privileged Access Management (PAM),Q_210,PACC,Are privileged accounts disabled upon user termination or role change?,yes_no_partial_with_text,follow_up,A.8.3,AC-2,CC6.2,Art.5(1)(e),7.2.5,164.308(a)(3),5.5,
Privileged Access Management (PAM),Q_211,PACC,Is the number of privileged accounts kept to the minimum required?,yes_no_partial_with_text,core,A.8.2,AC-6,CC6.1,Art.32(1),7.2.2,164.308(a)(3),6.5,
Privileged Access Management (PAM),Q_212,PACC,Are privileged roles clearly documented and aligned with job responsibilities?,yes_no_partial_with_text,core,A.5.15,AC-2,CC1.2,Art.24,7.2.1,164.308(a)(3),2.3,
Privileged Access Management (PAM),Q_213,PACC,Are privileged account naming conventions standardized?,yes_no_partial_with_text,follow_up,A.8.2,AC-2,CC6.1,Art.32(1),7.2.1,164.308(a)(3),6.3,
Privileged Access Management (PAM),Q_214,PACC,Are emergency privileged accounts strictly controlled and monitored?,yes_no_partial_with_text,core,A.8.2|A.8.16,AC-2|AU-6,CC7.2,Art.32(1),8.3.1,164.312(b),6.5|8.2,
Privileged Access Management (PAM),Q_215,PACC,Are privileged account inventories maintained and kept up to date?,yes_no_partial_with_text,core,A.5.9,CM-8,CC1.2,Art.24,7.2.1,164.308(a)(1),2.3,
Privileged Access Management (PAM),Q_216,PACC,Are privileged account access approvals recorded and retained?,yes_no_partial_with_text,follow_up,A.8.16,AU-11,CC2.2,Art.30,10.5,164.312(b),8.2,
Privileged Access Management (PAM),Q_217,PVAULT,Are privileged credentials stored in an approved privileged access vault?,yes_no_partial_with_text,core,A.8.2,IA-7,CC6.1,Art.32(1),8.3.1,164.312(d),6.5,
Privileged Access Management (PAM),Q_218,PVAULT,Does the vault enforce strong encryption for stored privileged credentials?,yes_no_partial_with_text,core,A.8.24,SC-12,CC6.1,Art.32(1),3.6.1,164.312(e),3.11,
Privileged Access Management (PAM),Q_219,PVAULT,Are privileged passwords rotated automatically based on defined intervals?,yes_no_partial_with_text,core,A.8.9,IA-5,CC6.3,Art.32(1),8.3.6,164.312(a),5.2,
Privileged Access Management (PAM),Q_220,PVAULT,Are vault access rights restricted to authorized PAM administrators only?,yes_no_partial_with_text,core,A.8.2,AC-6,CC6.1,Art.32(1),7.2.2,164.308(a)(3),6.5,
Privileged Access Management (PAM),Q_221,PVAULT,Are access attempts to the vault logged and monitored?,yes_no_partial_with_text,follow_up,A.8.16,AU-2|AU-6,CC7.2,Art.30,10.2,164.312(b),8.2,
Privileged Access Management (PAM),Q_222,PVAULT,Is multi factor authentication enforced for vault access?,yes_no_partial_with_text,core,A.8.5,IA-2,CC6.1,Art.32(1),8.3.1,164.312(d),6.4|6.5,
Privileged Access Management (PAM),Q_223,PVAULT,Are vaulted credentials masked from direct user viewing?,yes_no_partial_with_text,core,A.8.5,IA-7,CC6.3,Art.32(1),8.3.1,164.312(d),6.5,
Privileged Access Management (PAM),Q_224,PVAULT,Are privileged credentials checked in and out automatically through the vault?,yes_no_partial_with_text,follow_up,A.8.9,IA-5,CC6.3,Art.32(1),8.3.6,164.312(a),5.2,
Privileged Access Management (PAM),Q_225,PVAULT,Are vault backups securely stored and protected?,yes_no_partial_with_text,follow_up,A.8.13,CP-9,CC7.2,Art.32(1),12.3.1,164.308(a)(7),11.3,
Privileged Access Management (PAM),Q_226,PVAULT,Are vault configuration changes subject to change management approval?,yes_no_partial_with_text,core,A.5.23,CM-3,CC5.2,Art.32(1),6.4.2,164.308(a)(1),4.1,
Privileged Access Management (PAM),Q_227,PVAULT,Are default vault credentials changed after installation?,yes_no_partial_with_text,core,A.8.2,AC-2,CC6.1,Art.32(1),2.1.1,164.308(a)(3),5.1,
Privileged Access Management (PAM),Q_228,PVAULT,Are vault access logs retained for audit evidence?,yes_no_partial_with_text,follow_up,A.8.16,AU-11,CC2.2,Art.30,10.5,164.312(b),8.2,
Privileged Access Management (PAM),Q_229,PVAULT,Is vault access restricted to secure network zones?,yes_no_partial_with_text,core,A.8.20,SC-7,CC6.6,Art.32(1),1.4.4,164.312(e),12.11,
Privileged Access Management (PAM),Q_230,PVAULT,Are vault access policies reviewed periodically?,yes_no_partial_with_text,follow_up,A.5.29,CA-7,CC4.1,Art.32(1)(d),12.11.1,164.308(a)(8),4.1,
Privileged Access Management (PAM),Q_231,PVAULT,Are orphaned credentials identified and removed from the vault?,yes_no_partial_with_text,follow_up,A.8.3,AC-2,CC6.2,Art.5(1)(e),7.2.5,164.308(a)(3),5.5,
Privileged Access Management (PAM),Q_232,PSESSION,Are privileged sessions brokered through a PAM session management tool?,yes_no_partial_with_text,core,A.8.2|A.8.16,AC-2|AU-2,CC6.1|CC7.2,Art.32(1),8.3.1,164.312(b),6.5|8.2,
Privileged Access Management (PAM),Q_233,PSESSION,Is session recording enabled for privileged access activities?,yes_no_partial_with_text,core,A.8.16,AU-12,CC7.2,Art.30,10.2,164.312(b),8.2,
Privileged Access Management (PAM),Q_234,PSESSION,Are privileged sessions monitored in real time?,yes_no_partial_with_text,core,A.8.16,AU-6,CC7.3,Art.32(1),10.6,164.308(a)(6),13.11,
Privileged Access Management (PAM),Q_235,PSESSION,Are session timeouts enforced for privileged sessions?,yes_no_partial_with_text,core,A.8.2,AC-12,CC6.1,Art.32(1),8.2.8,164.312(d),6.5,
Privileged Access Management (PAM),Q_236,PSESSION,Are privileged sessions terminated after inactivity?,yes_no_partial_with_text,follow_up,A.8.2,AC-11,CC6.1,Art.32(1),8.2.8,164.312(d),6.5,
Privileged Access Management (PAM),Q_237,PSESSION,Are session recordings retained per policy?,yes_no_partial_with_text,follow_up,A.8.16,AU-11,CC2.2,Art.30,10.5,164.312(b),8.2,
Privileged Access Management (PAM),Q_238,PSESSION,Can privileged sessions be forcibly terminated by security administrators?,yes_no_partial_with_text,core,A.8.2,AC-2,CC6.1,Art.32(1),7.2.2,164.308(a)(3),6.5,
Privileged Access Management (PAM),Q_239,PSESSION,Are commands executed during privileged sessions logged?,yes_no_partial_with_text,follow_up,A.8.16,AU-6,CC7.2,Art.30,10.2,164.312(b),8.2,
Privileged Access Management (PAM),Q_240,PSESSION,Are session anomalies flagged and investigated?,yes_no_partial_with_text,follow_up,A.5.26,IR-4,CC7.3,Art.32(1),12.10.1,164.308(a)(6),17.3,
Privileged Access Management (PAM),Q_241,PSESSION,Are session management configurations reviewed periodically?,yes_no_partial_with_text,follow_up,A.5.29,CA-7,CC4.1,Art.32(1)(d),12.11.1,164.308(a)(8),4.1,
Privileged Access Management (PAM),Q_242,PAPP,Is Just-In-Time privileged access implemented to reduce standing privileges?,yes_no_partial_with_text,core,A.8.2,AC-6,CC6.1,Art.32(1),7.2.2,164.308(a)(3),6.5,
Privileged Access Management (PAM),Q_243,PAPP,Are privilege elevation requests formally approved before activation?,yes_no_partial_with_text,core,A.8.2,AC-2,CC6.2,Art.32(1),7.1.2,164.308(a)(3),6.2,
Privileged Access Management (PAM),Q_244,PAPP,Is elevated access automatically revoked after task completion?,yes_no_partial_with_text,core,A.8.3,AC-2,CC6.2,Art.5(1)(e),7.2.5,164.308(a)(3),5.5,
Privileged Access Management (PAM),Q_245,PAPP,Are elevated permissions restricted to specific systems or functions?,yes_no_partial_with_text,core,A.8.2,AC-6,CC6.1,Art.32(1),7.2.2,164.308(a)(3),6.5,
Privileged Access Management (PAM),Q_246,PAPP,Are privilege escalation activities logged and monitored?,yes_no_partial_with_text,follow_up,A.8.16,AU-6,CC7.2,Art.30,10.2,164.312(b),8.2,
Privileged Access Management (PAM),Q_247,PAPP,Are privilege elevation policies documented and approved?,yes_no_partial_with_text,core,A.5.1,PL-2,CC1.2,Art.24,12.1.1,164.308(a)(1),2.3,
Privileged Access Management (PAM),Q_248,PAPP,Are unauthorized privilege elevations automatically blocked?,yes_no_partial_with_text,core,A.8.2,AC-6,CC7.2,Art.32(1),7.2.2,164.308(a)(3),6.5,
Privileged Access Management (PAM),Q_249,PAPP,Are privilege elevation rules reviewed periodically?,yes_no_partial_with_text,follow_up,A.5.29,CA-7,CC4.1,Art.32(1)(d),12.11.1,164.308(a)(8),4.1,
Privileged Access Management (PAM),Q_250,PAPP,Is multi-factor authentication enforced before granting elevated access?,yes_no_partial_with_text,core,A.8.5,IA-2,CC6.1,Art.32(1),8.3.1,164.312(d),6.4|6.5,
Privileged Access Management (PAM),Q_251,PAPP,Are privilege escalation approvals retained for audit evidence?,yes_no_partial_with_text,follow_up,A.8.16,AU-11,CC2.2,Art.30,10.5,164.312(b),8.2,
Privileged Access Management (PAM),Q_252,PMON,Are privileged activities continuously monitored for suspicious behavior?,yes_no_partial_with_text,core,A.8.16,SI-4|AU-6,CC7.3,Art.32(1),10.6,164.308(a)(6),13.11,
Privileged Access Management (PAM),Q_253,PMON,Are real-time alerts generated for anomalous privileged actions?,yes_no_partial_with_text,core,A.8.16,AU-6,CC7.3,Art.32(1),10.6,164.308(a)(6),13.11,
Privileged Access Management (PAM),Q_254,PMON,Are privileged command executions captured and reviewed?,yes_no_partial_with_text,follow_up,A.8.16,AU-6,CC7.2,Art.30,10.2,164.312(b),8.2,
Privileged Access Management (PAM),Q_255,PMON,Are privileged activity logs correlated with other security event data?,yes_no_partial_with_text,follow_up,A.8.16,SI-4,CC7.3,Art.32(1),10.6,164.308(a)(6),13.11,
Privileged Access Management (PAM),Q_256,PMON,Are privileged monitoring thresholds reviewed and tuned regularly?,yes_no_partial_with_text,follow_up,A.5.29,CA-7,CC4.1,Art.32(1)(d),12.11.1,164.308(a)(8),4.1,
Privileged Access Management (PAM),Q_257,PMON,Are alerts from privileged activity monitoring investigated promptly?,yes_no_partial_with_text,follow_up,A.5.26,IR-4,CC7.3,Art.32(1)|Art.33,12.10.1,164.308(a)(6),17.3,
Privileged Access Management (PAM),Q_258,PMON,Are privileged monitoring logs retained as compliance evidence?,yes_no_partial_with_text,follow_up,A.8.16,AU-11,CC2.2,Art.30,10.5,164.312(b),8.2,
Privileged Access Management (PAM),Q_259,PMON,Is privileged activity monitoring integrated with SIEM platforms?,yes_no_partial_with_text,core,A.8.16,AU-12,CC7.2,Art.32(1),10.4,164.312(b),8.2,
Privileged Access Management (PAM),Q_260,PMON,Are privileged activity baselines established for normal behavior?,yes_no_partial_with_text,follow_up,A.8.16,RA-5,CC7.3,Art.32(1),10.6,164.308(a)(1),13.11,
Privileged Access Management (PAM),Q_261,PMON,Are deviations from privileged activity baselines escalated?,yes_no_partial_with_text,follow_up,A.5.26,IR-4,CC7.3,Art.32(1),12.10.1,164.308(a)(6),17.3,
Privileged Access Management (PAM),Q_262,PREV,Are privileged accounts reviewed periodically for continued business need?,yes_no_partial_with_text,core,A.5.29,CA-7,CC4.1,Art.32(1)(d),10.4.2,164.308(a)(8),4.1,
Privileged Access Management (PAM),Q_263,PREV,Are privileged access reviews conducted by system owners?,yes_no_partial_with_text,core,A.5.2,AC-2,CC1.2,Art.24,6.1.1,164.308(a)(1),2.3,
Privileged Access Management (PAM),Q_264,PREV,Are excessive privileged permissions identified and remediated?,yes_no_partial_with_text,follow_up,A.8.2,AC-6,CC6.1,Art.32(1),7.2.2,164.308(a)(3),6.5,
